Subclassification,Mutation_Rate,Matches,Misses,Proportion_Matches
doubled_payload,0.0,9978.0,22.0,0.9978
doubled_payload,0.01,9971.0,29.0,0.9971
doubled_payload,0.01,9965.0,35.0,0.9965
doubled_payload,0.05,9949.0,56.0,0.9944027986006997
expected,0.0,9977.0,23.0,0.9977
expected,0.01,9987.0,13.0,0.9987
expected,0.01,9970.0,31.0,0.9969003099690031
expected,0.05,9912.5,89.5,0.9910517896420716
expected_selfprime,0.0,9929.5,70.5,0.99295
expected_selfprime,0.01,9918.0,82.0,0.9918
expected_selfprime,0.01,9911.0,94.0,0.9906046976511744
expected_selfprime,0.05,9687.5,321.5,0.9678789089819163
extended_species_bothITR,0.0,9904.0,96.0,0.9904
extended_species_bothITR,0.01,9902.0,98.0,0.9902
extended_species_bothITR,0.01,9907.0,94.0,0.9906009399060094
extended_species_bothITR,0.05,9902.0,109.0,0.989111976825492
extended_species_endITR,0.0,9943.0,57.0,0.9943
extended_species_endITR,0.01,9921.0,80.0,0.992000799920008
extended_species_endITR,0.01,9935.0,68.0,0.9932020393881835
extended_species_endITR,0.05,9933.5,71.5,0.9928535732133933
extended_species_startITR,0.0,9926.0,74.0,0.9926
extended_species_startITR,0.01,9939.0,61.0,0.9939
extended_species_startITR,0.01,9916.0,85.0,0.9915008499150085
extended_species_startITR,0.05,9934.5,73.5,0.9926558752997602
irregular_payload,0.0,9968.5,31.5,0.99685
irregular_payload,0.01,9963.0,37.0,0.9963
irregular_payload,0.01,9970.0,33.0,0.9967009897030891
irregular_payload,0.05,9957.5,45.5,0.9954513645906228
itr_only,0.0,10000.0,0.0,1.0
itr_only,0.01,10000.0,0.0,1.0
itr_only,0.01,10000.0,0.0,1.0
itr_only,0.05,9974.0,29.0,0.9971008697390783
other,0.0,10000.0,0.0,1.0
other,0.01,9999.0,1.0,0.9999
other,0.01,9996.0,6.0,0.9994001199760048
other,0.05,9972.0,31.0,0.9969009297210837
payload_only,0.0,9982.5,17.5,0.99825
payload_only,0.01,9985.0,15.0,0.9985
payload_only,0.01,9977.0,23.0,0.9977
payload_only,0.05,9982.0,19.0,0.9981001899810019
snapback,0.0,9966.5,33.5,0.99665
snapback,0.01,9969.0,31.0,0.9969
snapback,0.01,9961.5,38.5,0.99615
snapback,0.05,9950.0,51.0,0.9949005099490051
snapback_selfprime,0.0,9866.0,135.0,0.9865013498650135
snapback_selfprime,0.01,9859.5,140.5,0.98595
snapback_selfprime,0.01,9853.0,148.0,0.9852014798520148
snapback_selfprime,0.05,9797.5,213.5,0.9786734591948856
truncated_left,0.0,9976.5,23.5,0.99765
truncated_left,0.01,9982.5,17.5,0.99825
truncated_left,0.01,9981.0,21.0,0.9979004199160167
truncated_left,0.05,9949.5,52.5,0.994751049790042
truncated_right,0.0,9976.5,23.5,0.99765
truncated_right,0.01,9976.0,24.0,0.9976
truncated_right,0.01,9984.5,15.5,0.99845
truncated_right,0.05,9953.0,55.0,0.9945043964828137
truncated_selfprime,0.0,9973.0,27.0,0.9973
truncated_selfprime,0.01,9966.0,34.0,0.9966
truncated_selfprime,0.01,9958.5,44.5,0.9955513345996201
truncated_selfprime,0.05,9940.0,66.0,0.9934039576254248
truncated_snapback_selfprime,0.0,9876.0,124.0,0.9876
truncated_snapback_selfprime,0.01,9878.0,123.0,0.9877012298770123
truncated_snapback_selfprime,0.01,9854.5,147.5,0.985252949410118
truncated_snapback_selfprime,0.05,9798.5,213.5,0.9786755892928486
truncated_sp_IPP,0.0,9963.0,38.0,0.9962003799620038
truncated_sp_IPP,0.01,9976.0,24.0,0.9976
truncated_sp_IPP,0.01,9969.0,33.0,0.9967006598680264
truncated_sp_IPP,0.05,9918.5,89.5,0.9910571542765787
truncated_sp_PPI,0.0,9970.5,29.5,0.99705
truncated_sp_PPI,0.01,9972.0,28.0,0.9972
truncated_sp_PPI,0.01,9970.0,32.0,0.9968006398720256
truncated_sp_PPI,0.05,9895.0,126.0,0.9874264045504441
